classname ; CvsEntropy ; CvsWEntropy ; CvsLinEntropy ; CvsLogEntropy ; CvsExpEntropy ; 
org::eclipse::jdt::internal::compiler::parser::RecoveredInitializer ; 10.2069 ; 0.0394717 ; 0.171941 ; 8.22695 ; 0.299491 ; 
org::eclipse::jdt::internal::core::util::WeakHashSetOfCharArray ; 2.27054 ; 0.00171284 ; 0.00387962 ; 0.0557912 ; 7.23901e-4 ; 
org::eclipse::jdt::internal::compiler::ast::Expression ; 33.6845 ; 0.638785 ; 0.210199 ; 8.79785 ; 0.334186 ; 
org::eclipse::jdt::internal::compiler::classfmt::MethodInfoWithAnnotations ; 1.06049 ; 6.78105e-4 ; 0.00371141 ; 0.0316289 ; 0.00673218 ; 
org::eclipse::jdt::internal::core::util::ConstantPool ; 4.07501 ; 0.00220824 ; 0.0062193 ; 0.097153 ; 0.00103086 ; 
org::eclipse::jdt::internal::compiler::ast::ArrayTypeReference ; 6.73444 ; 0.00399605 ; 0.132755 ; 8.07051 ; 0.197855 ; 
org::eclipse::jdt::internal::compiler::impl::IntConstant ; 6.77104 ; 0.00888686 ; 0.0101348 ; 0.160922 ; 0.00120756 ; 
org::eclipse::jdt::internal::core::search::matching::SuperTypeReferencePattern ; 12.566 ; 0.0182439 ; 0.1376 ; 8.20489 ; 0.177692 ; 
org::eclipse::jdt::internal::codeassist::complete::CompletionOnQualifiedAllocationExpression ; 4.07501 ; 0.00220824 ; 0.0062193 ; 0.097153 ; 0.00103086 ; 
org::eclipse::jdt::core::dom::SuperFieldAccess ; 7.95479 ; 0.00397769 ; 0.154542 ; 8.1394 ; 0.232145 ; 
org::eclipse::jdt::internal::core::ExternalPackageFragmentRoot ; 2.27131 ; 0.00266082 ; 0.041741 ; 0.134373 ; 0.141951 ; 
org::eclipse::jdt::internal::compiler::lookup::MethodScope ; 14.8368 ; 0.135188 ; 0.0280398 ; 0.367434 ; 0.0304744 ; 
org::eclipse::jdt::internal::compiler::CompilationResult ; 23.6109 ; 0.153622 ; 0.170381 ; 8.5032 ; 0.243506 ; 
org::eclipse::jdt::internal::core::util::KeyToSignature ; 14.3292 ; 0.0621304 ; 0.0250814 ; 0.349752 ; 0.0189098 ; 
org::eclipse::jdt::internal::core::jdom::DOMType ; 12.0518 ; 0.00989231 ; 0.0193642 ; 0.290484 ; 0.0051789 ; 
org::eclipse::jdt::internal::compiler::ast::ForStatement ; 16.4642 ; 0.0287867 ; 0.0286204 ; 0.403196 ; 0.0152769 ; 
org::eclipse::jdt::internal::compiler::lookup::MissingTypeBinding ; 1.47165 ; 0.0013687 ; 0.112489 ; 7.91776 ; 0.140566 ; 
org::eclipse::jdt::internal::compiler::ast::TrueLiteral ; 7.2883 ; 0.00322632 ; 0.0120812 ; 0.177191 ; 0.00316137 ; 
org::eclipse::jdt::internal::codeassist::complete::CompletionOnKeyword3 ; 6.93237 ; 0.00313282 ; 0.00985736 ; 0.162632 ; 0.00115402 ; 
org::eclipse::jdt::internal::formatter::FormatJavadocText ; 1.69533 ; 0.0394985 ; 0.0446887 ; 0.127957 ; 0.126468 ; 
org::eclipse::jdt::internal::core::ImportDeclarationElementInfo ; 5.33714 ; 0.00382679 ; 0.00771314 ; 0.1256 ; 0.00106076 ; 
org::eclipse::jdt::internal::formatter::comment::SubstitutionTextReader ; 3.17525 ; 0.00223339 ; 0.00797677 ; 0.0850172 ; 0.0117179 ; 
org::eclipse::jdt::internal::compiler::ast::NormalAnnotation ; 8.43551 ; 0.00627586 ; 0.142794 ; 8.12637 ; 0.214433 ; 
org::eclipse::jdt::internal::compiler::lookup::SourceTypeBinding ; 39.1311 ; 0.285371 ; 0.244915 ; 8.98854 ; 0.430462 ; 
org::eclipse::jdt::internal::core::SetContainerOperation ; 6.98868 ; 0.0227382 ; 0.0643822 ; 0.298201 ; 0.136898 ; 
org::eclipse::jdt::internal::compiler::lookup::AnnotationBinding ; 9.16287 ; 0.0392627 ; 0.152103 ; 8.16642 ; 0.248182 ; 
org::eclipse::jdt::internal::core::LRUCacheEnumerator ; 5.07933 ; 0.00335126 ; 0.00762499 ; 0.120678 ; 0.00111852 ; 
org::eclipse::jdt::internal::core::JavaModelInfo ; 4.07501 ; 0.00220824 ; 0.0062193 ; 0.097153 ; 0.00103086 ; 
org::eclipse::jdt::core::dom::MethodDeclaration ; 7.18067 ; 0.0119023 ; 0.151655 ; 8.11431 ; 0.230995 ; 
org::eclipse::jdt::internal::core::search::matching::AndPattern ; 13.8528 ; 0.0686472 ; 0.141381 ; 8.23988 ; 0.18781 ; 
org::eclipse::jdt::internal::eval::CodeSnippetSuperReference ; 10.8205 ; 0.0061972 ; 0.0195642 ; 0.267914 ; 0.00981523 ; 
org::eclipse::jdt::internal::core::search::matching::OrPattern ; 7.86064 ; 0.0275474 ; 0.137064 ; 8.10379 ; 0.219378 ; 
org::eclipse::jdt::internal::core::util::HashSetOfArray ; 1.29561 ; 0.0693099 ; 0.00438967 ; 0.0382717 ; 0.00748615 ; 
org::eclipse::jdt::internal::core::util::ClassFileStruct ; 4.07501 ; 0.00220824 ; 0.0062193 ; 0.097153 ; 0.00103086 ; 
org::eclipse::jdt::internal::codeassist::select::SelectionOnSingleTypeReference ; 6.70304 ; 0.00573407 ; 0.152618 ; 8.10942 ; 0.231938 ; 
org::eclipse::jdt::internal::compiler::env::AccessRuleSet ; 11.1338 ; 0.0324992 ; 0.0214973 ; 0.276308 ; 0.0274661 ; 
org::eclipse::jdt::internal::core::search::indexing::IndexAllProject ; 12.1787 ; 0.0366249 ; 0.01769 ; 0.287275 ; 0.00204809 ; 
org::eclipse::jdt::internal::compiler::codegen::ObjectCache ; 3.42081 ; 0.00462944 ; 0.00487674 ; 0.0802947 ; 5.5128e-4 ; 
org::eclipse::jdt::internal::core::util::ClassFileAttribute ; 4.07501 ; 0.00220824 ; 0.0062193 ; 0.097153 ; 0.00103086 ; 
org::eclipse::jdt::internal::compiler::ast::ForeachStatement ; 23.6077 ; 0.269073 ; 0.0477337 ; 0.59548 ; 0.0542082 ; 
org::eclipse::jdt::core::dom::NodeEventHandler ; 6.44569 ; 0.00981633 ; 0.0095078 ; 0.152559 ; 0.00123383 ; 
org::eclipse::jdt::internal::eval::CodeSnippetClassFile ; 19.6547 ; 0.0201623 ; 0.042134 ; 0.502398 ; 0.0541979 ; 
org::eclipse::jdt::internal::compiler::flow::FinallyFlowContext ; 7.61486 ; 0.065214 ; 0.0158234 ; 0.194937 ; 0.0123144 ; 
org::eclipse::jdt::internal::compiler::SourceJavadocParser ; 7.11369 ; 0.0051027 ; 0.0112972 ; 0.171667 ; 0.00153047 ; 
org::eclipse::jdt::internal::compiler::lookup::UnresolvedReferenceBinding ; 12.5452 ; 0.0197347 ; 0.145537 ; 8.22094 ; 0.211069 ; 
org::eclipse::jdt::internal::core::CreateImportOperation ; 15.9473 ; 0.0267405 ; 0.150379 ; 8.29942 ; 0.210012 ; 
org::eclipse::jdt::internal::core::builder::ReferenceCollection ; 8.432 ; 0.0154394 ; 0.132469 ; 8.10494 ; 0.18682 ; 
org::eclipse::jdt::internal::compiler::ast::InstanceOfExpression ; 16.213 ; 0.010783 ; 0.0268068 ; 0.393339 ; 0.00911055 ; 
org::eclipse::jdt::core::dom::NodeSearcher ; 4.07501 ; 0.00220824 ; 0.0062193 ; 0.097153 ; 0.00103086 ; 
org::eclipse::jdt::internal::core::util::AnnotationComponent ; 4.07501 ; 0.00220824 ; 0.0062193 ; 0.097153 ; 0.00103086 ; 
org::eclipse::jdt::core::dom::BreakStatement ; 7.95479 ; 0.00397769 ; 0.154542 ; 8.1394 ; 0.232145 ; 
org::eclipse::jdt::internal::core::ASTHolderCUInfo ; 7.68944 ; 0.00208409 ; 0.0130856 ; 0.187608 ; 0.00572797 ; 
org::eclipse::jdt::internal::codeassist::complete::CompletionOnMethodReturnType ; 4.07501 ; 0.00220824 ; 0.0062193 ; 0.097153 ; 0.00103086 ; 
org::eclipse::jdt::internal::compiler::ast::ImportReference ; 7.7102 ; 0.00581399 ; 0.0150364 ; 0.194204 ; 0.0103768 ; 
org::eclipse::jdt::internal::core::builder::ClasspathJar ; 14.1927 ; 0.016369 ; 0.0242462 ; 0.345974 ; 0.0119841 ; 
org::eclipse::jdt::internal::eval::VariablesInfo ; 4.07501 ; 0.00220824 ; 0.0062193 ; 0.097153 ; 0.00103086 ; 
org::eclipse::jdt::internal::core::DeleteResourceElementsOperation ; 9.5041 ; 0.00532485 ; 0.136917 ; 8.13451 ; 0.199167 ; 
org::eclipse::jdt::internal::core::InternalNamingConventions ; 11.7427 ; 0.0406622 ; 0.151567 ; 8.21627 ; 0.228081 ; 
org::eclipse::jdt::internal::core::search::IndexQueryRequestor ; 5.33714 ; 0.00254899 ; 0.00771314 ; 0.1256 ; 0.00106076 ; 
org::eclipse::jdt::internal::compiler::flow::SwitchFlowContext ; 5.87361 ; 0.00421312 ; 0.00865428 ; 0.139052 ; 9.85877e-4 ; 
org::eclipse::jdt::core::dom::LineComment ; 7.95479 ; 0.00397769 ; 0.154542 ; 8.1394 ; 0.232145 ; 
org::eclipse::jdt::internal::compiler::ast::JavadocSingleNameReference ; 6.15815 ; 0.00409874 ; 0.0132351 ; 0.158651 ; 0.0124446 ; 
org::eclipse::jdt::internal::compiler::ast::SubRoutineStatement ; 10.0134 ; 0.0168189 ; 0.0222662 ; 0.260407 ; 0.0225005 ; 
org::eclipse::jdt::internal::compiler::ProcessTaskManager ; 1.84991 ; 0.0468311 ; 0.0685862 ; 0.193852 ; 0.153095 ; 
org::eclipse::jdt::core::dom::SwitchStatement ; 9.21692 ; 0.00431843 ; 0.156036 ; 8.16785 ; 0.232175 ; 
org::eclipse::jdt::internal::core::search::matching::SuperTypeReferenceLocator ; 10.0398 ; 0.0127751 ; 0.140319 ; 8.15627 ; 0.209527 ; 
org::eclipse::jdt::internal::core::SourceMethod ; 17.5057 ; 0.0238779 ; 0.166991 ; 8.36355 ; 0.260462 ; 
org::eclipse::jdt::internal::core::hierarchy::IndexBasedHierarchyBuilder ; 23.3337 ; 0.0300901 ; 0.0496048 ; 0.59501 ; 0.0613302 ; 
org::eclipse::jdt::internal::core::util::CommentRecorderScanner ; 4.07501 ; 0.00220824 ; 0.0062193 ; 0.097153 ; 0.00103086 ; 
org::eclipse::jdt::internal::core::util::StackMapAttribute ; 2.26443 ; 0.00533575 ; 0.00374515 ; 0.0551917 ; 6.10663e-4 ; 
org::eclipse::jdt::core::dom::SuperMethodInvocation ; 8.63149 ; 0.0194735 ; 0.157177 ; 8.1599 ; 0.238388 ; 
org::eclipse::jdt::internal::codeassist::complete::CompletionOnExplicitConstructorCall ; 4.07501 ; 0.00220824 ; 0.0062193 ; 0.097153 ; 0.00103086 ; 
org::eclipse::jdt::internal::formatter::old::CodeFormatter ; 7.25753 ; 0.0253314 ; 0.0098062 ; 0.168437 ; 6.56321e-4 ; 
org::eclipse::jdt::internal::compiler::lookup::CaptureBinding ; 18.513 ; 0.0615781 ; 0.16975 ; 8.39701 ; 0.288074 ; 
org::eclipse::jdt::internal::compiler::lookup::ParameterizedMethodBinding ; 22.2757 ; 0.040362 ; 0.174812 ; 8.48431 ; 0.293833 ; 
org::eclipse::jdt::internal::compiler::ast::FieldDeclaration ; 30.6378 ; 0.130658 ; 0.200719 ; 8.71535 ; 0.325189 ; 
org::eclipse::jdt::internal::compiler::lookup::InferenceContext ; 2.22103 ; 0.0173098 ; 0.00845588 ; 0.0679235 ; 0.017846 ; 
org::eclipse::jdt::core::dom::AssertStatement ; 7.95479 ; 0.00397769 ; 0.154542 ; 8.1394 ; 0.232145 ; 
org::eclipse::jdt::internal::core::search::matching::PackageDeclarationPattern ; 5.11213 ; 0.00290785 ; 0.0084493 ; 0.124162 ; 0.00212678 ; 
org::eclipse::jdt::core::dom::InternalASTRewrite ; 7.06348 ; 0.00618332 ; 0.00997839 ; 0.16545 ; 0.00112302 ; 
org::eclipse::jdt::internal::compiler::classfmt::ClassFileReader ; 22.1081 ; 0.127041 ; 0.189791 ; 8.51026 ; 0.321851 ; 
org::eclipse::jdt::internal::core::search::JavaSearchParticipant ; 9.08309 ; 0.0062024 ; 0.13756 ; 8.1338 ; 0.199004 ; 
org::eclipse::jdt::internal::core::ImportContainer ; 9.21502 ; 0.00450811 ; 0.135103 ; 8.12236 ; 0.198215 ; 
org::eclipse::jdt::core::dom::TypeParameter ; 8.43242 ; 0.00408152 ; 0.153579 ; 8.14429 ; 0.231202 ; 
org::eclipse::jdt::internal::compiler::env::NameEnvironmentAnswer ; 4.06989 ; 0.00235898 ; 0.00590675 ; 0.0959564 ; 6.8934e-4 ; 
org::eclipse::jdt::core::CompletionContext ; 10.2625 ; 0.0524104 ; 0.171654 ; 8.22522 ; 0.290037 ; 
org::eclipse::jdt::internal::core::index::EntryResult ; 9.22461 ; 0.00703002 ; 0.0143352 ; 0.220489 ; 0.00372547 ; 
org::eclipse::jdt::internal::compiler::problem::AbortCompilation ; 9.05061 ; 0.00370299 ; 0.0173837 ; 0.22698 ; 0.0121331 ; 
org::eclipse::jdt::core::dom::SynchronizedStatement ; 7.95479 ; 0.00397769 ; 0.154542 ; 8.1394 ; 0.232145 ; 
org::eclipse::jdt::core::dom::DefaultCommentMapper ; 12.8915 ; 0.050394 ; 0.0251661 ; 0.325267 ; 0.0159743 ; 
org::eclipse::jdt::internal::core::util::EnclosingMethodAttribute ; 4.07501 ; 0.00220824 ; 0.0062193 ; 0.097153 ; 0.00103086 ; 
org::eclipse::jdt::internal::compiler::ast::ArrayInitializer ; 20.2492 ; 0.0733418 ; 0.155112 ; 8.39812 ; 0.206625 ; 
org::eclipse::jdt::internal::codeassist::complete::CompletionOnMemberValueName ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::impl::ShortConstant ; 6.77104 ; 0.00343493 ; 0.0101348 ; 0.160922 ; 0.00120756 ; 
org::eclipse::jdt::internal::core::search::matching::OrLocator ; 11.2897 ; 0.0307847 ; 0.147945 ; 8.19532 ; 0.223211 ; 
org::eclipse::jdt::internal::core::OpenableElementInfo ; 4.07501 ; 0.00220824 ; 0.0062193 ; 0.097153 ; 0.00103086 ; 
org::eclipse::jdt::internal::compiler::ast::IntLiteralMinValue ; 4.08525 ; 0.00137146 ; 0.00599796 ; 0.0965694 ; 7.52173e-4 ; 
org::eclipse::jdt::internal::core::search::matching::AndLocator ; 2.57538 ; 0.00247396 ; 0.132681 ; 7.98269 ; 0.210948 ; 
org::eclipse::jdt::internal::compiler::codegen::CharArrayCache ; 8.57238 ; 0.027208 ; 0.129683 ; 8.1024 ; 0.175244 ; 
org::eclipse::jdt::internal::core::search::matching::MethodLocator ; 33.9297 ; 0.236619 ; 0.199192 ; 8.78156 ; 0.294428 ; 
org::eclipse::jdt::core::BufferChangedEvent ; 6.70304 ; 0.00429599 ; 0.152618 ; 8.10942 ; 0.231938 ; 
org::eclipse::jdt::internal::core::NullBuffer ; 1.06049 ; 0.00169526 ; 0.00371141 ; 0.0316289 ; 0.00673218 ; 
org::eclipse::jdt::core::dom::ReturnStatement ; 7.95479 ; 0.00397769 ; 0.154542 ; 8.1394 ; 0.232145 ; 
org::eclipse::jdt::internal::core::CopyPackageFragmentRootOperation ; 13.7034 ; 0.00847021 ; 0.148299 ; 8.25014 ; 0.213692 ; 
org::eclipse::jdt::internal::core::MultiOperation ; 6.9656 ; 0.0135317 ; 0.0123244 ; 0.170848 ; 0.00748692 ; 
org::eclipse::jdt::internal::core::ProjectReferenceChange ; 5.07652 ; 0.0893076 ; 0.135422 ; 8.04626 ; 0.218176 ; 
org::eclipse::jdt::internal::compiler::ast::QualifiedSuperReference ; 5.29522 ; 0.00372688 ; 0.00902112 ; 0.129483 ; 0.00276379 ; 
org::eclipse::jdt::internal::core::search::processing::JobManager ; 17.3722 ; 0.0459164 ; 0.168612 ; 8.37081 ; 0.284163 ; 
org::eclipse::jdt::internal::core::search::matching::MemberDeclarationVisitor ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::core::dom::SimpleName ; 10.6043 ; 0.00911553 ; 0.159856 ; 8.20567 ; 0.238377 ; 
org::eclipse::jdt::internal::eval::CodeSnippetToCuMapper ; 14.5431 ; 0.0194613 ; 0.0316076 ; 0.373209 ; 0.0396787 ; 
org::eclipse::jdt::internal::core::builder::JavaBuilder ; 32.0766 ; 0.136858 ; 0.216457 ; 8.78373 ; 0.363007 ; 
org::eclipse::jdt::core::dom::AnnotationTypeDeclaration ; 6.84846 ; 0.00360045 ; 0.151789 ; 8.10896 ; 0.231177 ; 
org::eclipse::jdt::internal::compiler::util::SimpleNameVector ; 4.07501 ; 0.00220824 ; 0.0062193 ; 0.097153 ; 0.00103086 ; 
org::eclipse::jdt::internal::core::SearchableEnvironment ; 20.8131 ; 0.0519283 ; 0.168737 ; 8.43925 ; 0.229295 ; 
org::eclipse::jdt::core::dom::LabeledStatement ; 7.95479 ; 0.00397769 ; 0.154542 ; 8.1394 ; 0.232145 ; 
org::eclipse::jdt::internal::core::search::AbstractSearchScope ; 6.86677 ; 0.00411404 ; 0.125854 ; 8.06017 ; 0.164593 ; 
org::eclipse::jdt::internal::core::hierarchy::HierarchyBuilder ; 14.4323 ; 0.0421348 ; 0.0219163 ; 0.34386 ; 0.00359123 ; 
org::eclipse::jdt::internal::compiler::ast::Argument ; 20.4932 ; 0.0388918 ; 0.168942 ; 8.44318 ; 0.253393 ; 
org::eclipse::jdt::internal::codeassist::MissingTypesGuesser ; 2.51582 ; 0.00409529 ; 0.00719149 ; 0.0706021 ; 0.00921909 ; 
org::eclipse::jdt::internal::core::util::JavaElementFinder ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::flow::ConditionalFlowInfo ; 5.18843 ; 0.0282476 ; 0.00784661 ; 0.123538 ; 0.00108711 ; 
org::eclipse::jdt::internal::core::search::JavaWorkspaceScope ; 13.1836 ; 0.0538294 ; 0.166302 ; 8.27278 ; 0.255169 ; 
org::eclipse::jdt::internal::core::MoveResourceElementsOperation ; 6.92698 ; 0.00278123 ; 0.0097273 ; 0.161994 ; 0.00112517 ; 
org::eclipse::jdt::internal::core::BatchInitializationMonitor ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::jdt::internal::compiler::util::Util ; 25.9159 ; 0.159701 ; 0.199802 ; 8.61679 ; 0.33165 ; 
org::eclipse::jdt::internal::core::CancelableProblemFactory ; 6.50029 ; 0.00472774 ; 0.0162024 ; 0.172037 ; 0.0284823 ; 
org::eclipse::jdt::internal::core::LocalVariable ; 13.7497 ; 0.0364921 ; 0.17536 ; 8.30879 ; 0.310199 ; 
org::eclipse::jdt::internal::compiler::ast::MethodDeclaration ; 23.1815 ; 0.0733601 ; 0.173763 ; 8.50375 ; 0.271031 ; 
org::eclipse::jdt::internal::core::ResolvedBinaryType ; 9.47399 ; 0.00664446 ; 0.138728 ; 8.13707 ; 0.203073 ; 
org::eclipse::jdt::internal::compiler::lookup::InnerEmulationDependency ; 4.07501 ; 0.00220824 ; 0.0062193 ; 0.097153 ; 0.00103086 ; 
org::eclipse::jdt::internal::core::CreateTypeOperation ; 8.7196 ; 0.0137488 ; 0.13446 ; 8.11095 ; 0.198195 ; 
org::eclipse::jdt::internal::core::hierarchy::RegionBasedHierarchyBuilder ; 8.94796 ; 0.0169683 ; 0.0166142 ; 0.22261 ; 0.00996758 ; 
org::eclipse::jdt::internal::core::util::PublicScanner ; 24.6219 ; 0.453537 ; 0.15945 ; 8.49782 ; 0.200777 ; 
org::eclipse::jdt::internal::compiler::ast::Block ; 5.26853 ; 0.00179632 ; 0.00769384 ; 0.124448 ; 8.6308e-4 ; 
org::eclipse::jdt::internal::core::search::matching::MatchLocator ; 42.2808 ; 0.466001 ; 0.192471 ; 1.31291 ; 0.432691 ; 
org::eclipse::jdt::internal::compiler::ast::ExplicitConstructorCall ; 23.2611 ; 0.0392912 ; 0.169271 ; 8.49634 ; 0.246169 ; 
org::eclipse::jdt::core::dom::SimpleType ; 7.95479 ; 0.00397769 ; 0.154542 ; 8.1394 ; 0.232145 ; 
org::eclipse::jdt::internal::core::dom::rewrite::ASTRewriteFormatter ; 17.7564 ; 0.126867 ; 0.142393 ; 8.31733 ; 0.174182 ; 
org::eclipse::jdt::internal::core::builder::ProblemFactory ; 4.07501 ; 0.00220824 ; 0.0062193 ; 0.097153 ; 0.00103086 ; 
org::eclipse::jdt::internal::core::ExternalFolderChange ; 1.67023 ; 0.00778298 ; 0.0241137 ; 0.0862473 ; 0.0917318 ; 
org::eclipse::jdt::internal::compiler::ClassFilePool ; 4.65831 ; 0.0186341 ; 0.143022 ; 8.04914 ; 0.227034 ; 
org::eclipse::jdt::internal::core::hierarchy::HierarchyType ; 6.26221 ; 0.00463659 ; 0.00932372 ; 0.148552 ; 0.00124495 ; 
org::eclipse::jdt::internal::compiler::batch::Main ; 49.9143 ; 2.28526 ; 0.272317 ; 9.27456 ; 0.531851 ; 
org::eclipse::jdt::internal::compiler::ast::CombinedBinaryExpression ; 3.63513 ; 0.0135951 ; 0.122647 ; 7.98736 ; 0.171885 ; 
org::eclipse::jdt::internal::core::util::RuntimeInvisibleAnnotationsAttribute ; 4.07501 ; 0.00220824 ; 0.0062193 ; 0.097153 ; 0.00103086 ; 
org::eclipse::jdt::internal::antadapter::AntAdapterMessages ; 4.07501 ; 0.00245303 ; 0.0062193 ; 0.097153 ; 0.00103086 ; 
org::eclipse::jdt::internal::core::search::indexing::SaveIndex ; 4.07501 ; 0.00220824 ; 0.0062193 ; 0.097153 ; 0.00103086 ; 
org::eclipse::jdt::internal::core::JavaModel ; 16.4611 ; 0.0212322 ; 0.176024 ; 8.36307 ; 0.299664 ; 
org::eclipse::jdt::internal::compiler::lookup::FieldBinding ; 24.0421 ; 0.0406408 ; 0.185777 ; 8.53863 ; 0.301109 ; 
org::eclipse::jdt::internal::compiler::lookup::ParameterizedFieldBinding ; 11.0731 ; 0.0155554 ; 0.015298 ; 0.258265 ; 0.0012279 ; 
org::eclipse::jdt::internal::codeassist::complete::CompletionOnPackageReference ; 5.19438 ; 0.002307 ; 0.00784493 ; 0.123602 ; 0.00115776 ; 
org::eclipse::jdt::internal::codeassist::select::SelectionOnFieldType ; 4.07501 ; 0.00220824 ; 0.0062193 ; 0.097153 ; 0.00103086 ; 
org::eclipse::jdt::internal::compiler::lookup::ProblemBinding ; 4.07501 ; 0.00220824 ; 0.0062193 ; 0.097153 ; 0.00103086 ; 
org::eclipse::jdt::internal::core::CreateTypeHierarchyOperation ; 2.50744 ; 0.0015187 ; 0.00287293 ; 0.0561041 ; 4.51575e-5 ; 
org::eclipse::jdt::core::search::MethodReferenceMatch ; 9.97058 ; 0.0679523 ; 0.14727 ; 8.16992 ; 0.219542 ; 
org::eclipse::jdt::internal::eval::CodeSnippetQualifiedNameReference ; 14.4405 ; 0.0195094 ; 0.160556 ; 8.28677 ; 0.249887 ; 
org::eclipse::jdt::internal::codeassist::complete::CompletionJavadocParser ; 15.3647 ; 0.0307317 ; 0.0346363 ; 0.400882 ; 0.0373279 ; 
org::eclipse::jdt::core::dom::EmptyStatement ; 7.95479 ; 0.00397769 ; 0.154542 ; 8.1394 ; 0.232145 ; 
org::eclipse::jdt::core::dom::SimplePropertyDescriptor ; 6.70304 ; 0.00381663 ; 0.152618 ; 8.10942 ; 0.231938 ; 
org::eclipse::jdt::internal::core::SourceRange ; 5.26021 ; 0.00464642 ; 0.00888735 ; 0.128392 ; 0.00257359 ; 
org::eclipse::jdt::internal::core::BinaryType ; 29.2704 ; 0.0697392 ; 0.186933 ; 8.66042 ; 0.284892 ; 
